num,whole,name,mode,blk,err,acc
0,36,lyt,qwerty,1,0,1
1,38,lyt,qwerty,2,0.026315789,0.973684211
0,36,lyt,qwerty,3,0,1
0,32,lyt,qwerty,4,0,1
0,37,lyt,qwerty,5,0,1
3,35,lyt,sensel,1,0.085714286,0.914285714
2,37,lyt,sensel,2,0.054054054,0.945945946
1,36,lyt,sensel,3,0.027777778,0.972222222
2,36,lyt,sensel,4,0.055555556,0.944444444
1,35,lyt,sensel,5,0.028571429,0.971428571
0,35,lyt,personal,1,0,1
0,37,lyt,personal,2,0,1
0,37,lyt,personal,3,0,1
0,36,lyt,personal,4,0,1
0,34,lyt,personal,5,0,1
0,36,zcc,qwerty,1,0,1
0,38,zcc,qwerty,2,0,1
1,36,zcc,qwerty,3,0.027777778,0.972222222
2,32,zcc,qwerty,4,0.0625,0.9375
1,37,zcc,qwerty,5,0.027027027,0.972972973
1,36,zcc,sensel,1,0.027777778,0.972222222
0,38,zcc,sensel,2,0,1
1,36,zcc,sensel,3,0.027777778,0.972222222
1,32,zcc,sensel,4,0.03125,0.96875
0,37,zcc,sensel,5,0,1
0,36,zcc,personal,1,0,1
0,38,zcc,personal,2,0,1
1,36,zcc,personal,3,0.027777778,0.972222222
0,32,zcc,personal,4,0,1
1,37,zcc,personal,5,0.027027027,0.972972973
1,36,lry,qwerty,1,0.027777778,0.972222222
1,38,lry,qwerty,2,0.026315789,0.973684211
1,36,lry,qwerty,3,0.027777778,0.972222222
0,32,lry,qwerty,4,0,1
0,37,lry,qwerty,5,0,1
0,36,lry,sensel,1,0,1
1,36,lry,sensel,2,0.027777778,0.972222222
0,34,lry,sensel,3,0,1
0,35,lry,sensel,4,0,1
0,38,lry,sensel,5,0,1
0,36,lry,personal,1,0,1
1,38,lry,personal,2,0.026315789,0.973684211
0,36,lry,personal,3,0,1
0,32,lry,personal,4,0,1
0,37,lry,personal,5,0,1
0,36,jxt,qwerty,1,0,1
0,38,jxt,qwerty,2,0,1
0,36,jxt,qwerty,3,0,1
0,32,jxt,qwerty,4,0,1
0,37,jxt,qwerty,5,0,1
0,36,jxt,sensel,1,0,1
2,38,jxt,sensel,2,0.052631579,0.947368421
0,36,jxt,sensel,3,0,1
0,32,jxt,sensel,4,0,1
0,37,jxt,sensel,5,0,1
0,33,jxt,personal,1,0,1
1,37,jxt,personal,2,0.027027027,0.972972973
0,34,jxt,personal,3,0,1
0,36,jxt,personal,4,0,1
1,39,jxt,personal,5,0.025641026,0.974358974
0,36,ljs,qwerty,1,0,1
0,38,ljs,qwerty,2,0,1
0,36,ljs,qwerty,3,0,1
0,32,ljs,qwerty,4,0,1
0,37,ljs,qwerty,5,0,1
0,36,ljs,sensel,1,0,1
0,36,ljs,sensel,2,0,1
0,38,ljs,sensel,3,0,1
0,36,ljs,sensel,4,0,1
0,33,ljs,sensel,5,0,1
1,35,ljs,personal,1,0.028571429,0.971428571
0,37,ljs,personal,2,0,1
0,37,ljs,personal,3,0,1
2,36,ljs,personal,4,0.055555556,0.944444444
0,34,ljs,personal,5,0,1
2,36,hyx,qwerty,1,0.055555556,0.944444444
1,38,hyx,qwerty,2,0.026315789,0.973684211
0,36,hyx,qwerty,3,0,1
0,32,hyx,qwerty,4,0,1
1,37,hyx,qwerty,5,0.027027027,0.972972973
1,36,hyx,sensel,1,0.027777778,0.972222222
0,35,hyx,sensel,2,0,1
0,34,hyx,sensel,3,0,1
0,39,hyx,sensel,4,0,1
0,35,hyx,sensel,5,0,1
0,34,hyx,personal,1,0,1
0,39,hyx,personal,2,0,1
0,35,hyx,personal,3,0,1
0,35,hyx,personal,4,0,1
0,36,hyx,personal,5,0,1
0,36,zfs,qwerty,1,0,1
1,38,zfs,qwerty,2,0.026315789,0.973684211
0,36,zfs,qwerty,3,0,1
0,32,zfs,qwerty,4,0,1
0,37,zfs,qwerty,5,0,1
0,36,zfs,sensel,1,0,1
0,38,zfs,sensel,2,0,1
0,36,zfs,sensel,3,0,1
0,32,zfs,sensel,4,0,1
0,37,zfs,sensel,5,0,1
0,36,zfs,personal,1,0,1
1,38,zfs,personal,2,0.026315789,0.973684211
0,36,zfs,personal,3,0,1
0,29,zfs,personal,4,0,1
0,37,zfs,personal,5,0,1
3,36,kwl,qwerty,1,0.083333333,0.916666667
2,38,kwl,qwerty,2,0.052631579,0.947368421
2,36,kwl,qwerty,3,0.055555556,0.944444444
3,32,kwl,qwerty,4,0.09375,0.90625
3,37,kwl,qwerty,5,0.081081081,0.918918919
0,37,kwl,sensel,1,0,1
1,36,kwl,sensel,2,0.027777778,0.972222222
0,35,kwl,sensel,3,0,1
0,36,kwl,sensel,4,0,1
0,35,kwl,sensel,5,0,1
1,36,kwl,personal,1,0.027777778,0.972222222
0,38,kwl,personal,2,0,1
0,36,kwl,personal,3,0,1
1,32,kwl,personal,4,0.03125,0.96875
0,35,kwl,personal,5,0,1
0,36,yzj,qwerty,1,0,1
2,38,yzj,qwerty,2,0.052631579,0.947368421
4,36,yzj,qwerty,3,0.111111111,0.888888889
3,32,yzj,qwerty,4,0.09375,0.90625
0,37,yzj,qwerty,5,0,1
4,35,yzj,sensel,1,0.114285714,0.885714286
1,36,yzj,sensel,2,0.027777778,0.972222222
2,37,yzj,sensel,3,0.054054054,0.945945946
2,34,yzj,sensel,4,0.058823529,0.941176471
2,37,yzj,sensel,5,0.054054054,0.945945946
0,35,yzj,personal,1,0,1
0,35,yzj,personal,2,0,1
0,35,yzj,personal,3,0,1
0,37,yzj,personal,4,0,1
0,37,yzj,personal,5,0,1
1,36,cc1,qwerty,1,0.027777778,0.972222222
1,35,cc1,qwerty,2,0.028571429,0.971428571
0,38,cc1,qwerty,3,0,1
0,36,cc1,qwerty,4,0,1
0,34,cc1,qwerty,5,0,1
0,34,cc1,sensel,1,0,1
0,37,cc1,sensel,2,0,1
1,39,cc1,sensel,3,0.025641026,0.974358974
0,32,cc1,sensel,4,0,1
1,37,cc1,sensel,5,0.027027027,0.972972973
0,37,cc1,personal,1,0,1
0,35,cc1,personal,2,0,1
0,34,cc1,personal,3,0,1
0,37,cc1,personal,4,0,1
0,36,cc1,personal,5,0,1