subject,mode,block,sdx,sdy,sdxspace,sdyspace,speed
wangchen1,hover,1,28.24869509,12.92650069,6.05184389,5.051996565,57
wangchen1,hover,2,29.24434299,13.79503635,7.878568055,5.008080263,59
wangchen1,hover,3,28.76448377,15.04147496,6.062971627,4.883098879,52
wangchen1,hover,4,31.10035385,13.68169253,7.862091041,5.130058175,53
wangchen1,place,1,27.91680321,11.14557127,4.633863003,3.02066643,51
wangchen1,place,2,27.68493953,11.76524928,4.682047116,2.591281937,58
wangchen1,place,3,28.85512506,12.17159115,5.232204542,2.498853734,61
wangchen1,place,4,30.19258519,11.75244776,4.919958333,2.959867802,58
cai,hover,1,25.87311569,12.70393858,6.315225817,6.136463461,17
cai,hover,2,24.19286243,13.0382805,7.263799382,7.685401195,21
cai,hover,3,24.96316555,14.10221929,6.877178498,5.87578805,23
cai,hover,4,25.01923667,13.92055048,6.80802068,6.110570911,27
cai,place,1,19.72263825,12.79522205,7.615333037,5.40565002,27
cai,place,2,20.0073308,12.00246958,4.124997108,3.613595394,30
cai,place,3,21.13381804,10.89618532,4.445418465,4.350529034,30
cai,place,4,20.72961411,11.55102996,5.457881323,5.728396243,32
luyiqin,hover,1,16.07095855,11.00459663,8.647936466,5.515052179,57
luyiqin,hover,2,15.61596995,12.41623006,5.232920011,7.555887583,58
luyiqin,hover,3,15.6373306,13.32645394,5.817764649,6.191319788,58
luyiqin,hover,4,16.60045391,11.95207989,6.588201682,4.923006091,55
luyiqin,place,1,17.46270732,9.471990476,2.695313187,2.399810313,37
luyiqin,place,2,18.76093087,10.66529862,3.779772571,2.928722581,43
luyiqin,place,3,20.0547764,11.04743695,4.066787981,2.045387057,44
luyiqin,place,4,19.06148564,11.2217742,3.705846542,2.655294823,46
fjy,hover,1,27.7592067,13.70249016,9.213255519,6.181684778,27
fjy,hover,2,30.97613806,15.3413054,7.757595946,6.22864161,26
fjy,hover,3,31.81527301,17.41117795,9.851395287,8.512108141,23
fjy,hover,4,31.17355903,16.62352488,9.711821553,9.508456898,22
fjy,place,1,32.60740519,13.59195029,9.338804367,4.99986355,18
fjy,place,2,31.6573762,15.06691417,8.431008818,9.417203515,21
fjy,place,3,32.56801974,14.82775631,6.535138833,4.579297534,23
fjy,place,4,31.58546868,15.04486962,7.470779371,7.519575446,24
lc,hover,1,30.81222356,13.73432416,6.501319762,7.516274281,32
lc,hover,2,31.47121973,14.30139696,8.083538884,6.82814809,33
lc,hover,3,30.7941752,13.69228532,7.791988131,6.191889543,33
lc,hover,4,30.86741267,13.82508769,7.322669359,5.38850532,35
lc,place,1,29.40536016,14.15887345,5.581687272,7.177914566,24
lc,place,2,29.47129416,14.7576162,9.192542862,9.059065565,29
lc,place,3,27.39821285,12.53962185,6.596638594,6.970214835,30
lc,place,4,27.4224594,13.87689289,9.293711521,11.25432949,33
lwk,hover,1,22.16918734,10.90489233,5.354838327,5.08877749,44
lwk,hover,2,25.86275659,11.37245846,7.185974653,5.96894203,36
lwk,hover,3,24.04848721,11.64107779,6.168735561,5.195497118,43
lwk,hover,4,23.82795487,10.5244094,6.047828508,5.542461645,40
lwk,place,1,24.87198595,10.63094964,7.717898268,7.318493511,40
lwk,place,2,23.42124449,8.933396066,5.790219063,3.74918683,44
lwk,place,3,24.82284246,8.370404947,5.490589889,3.094132761,47
lwk,place,4,23.37050472,8.887875068,5.022329115,3.782516704,46
lxy,hover,1,29.20876079,15.2131664,5.887485717,6.910824182,26
lxy,hover,2,28.41215037,14.90825394,7.142180117,4.60527339,26
lxy,hover,3,30.30018566,14.15482869,5.566064939,4.730285532,31
lxy,hover,4,30.0631731,14.41367142,5.739098537,4.735762983,30
lxy,place,1,24.91390663,14.34342575,4.523936171,5.651282749,23
lxy,place,2,25.42630892,13.11987123,5.615843988,4.388061573,22
lxy,place,3,27.41932937,12.67068338,4.524490375,2.964890027,26
lxy,place,4,26.07637382,12.69043528,4.28926906,3.975723877,27
qdn,hover,1,25.29551261,13.34790825,6.267867203,9.929097083,28
qdn,hover,2,24.79117612,13.41073731,6.73700872,6.927135333,30
qdn,hover,3,26.05268285,15.70387049,6.942761442,10.57449514,32
qdn,hover,4,25.47366604,13.4090817,6.641015368,7.001028795,34
qdn,place,1,22.43140881,13.65653254,8.246992047,8.077398228,34
qdn,place,2,23.41067442,12.29904405,7.491718346,3.2959521,37
qdn,place,3,21.13732367,11.8470364,6.61639676,7.143158297,34
qdn,place,4,21.61526913,11.61832984,3.987042641,5.191445686,36
wyd,hover,1,27.25728709,12.35356603,4.559963545,3.891725966,30
wyd,hover,2,28.84845348,12.52543959,6.002713819,4.916355949,28
wyd,hover,3,28.00341492,12.9612622,5.6914386,5.176324057,29
wyd,hover,4,27.08423223,12.26659396,4.175467894,5.823905656,31
wyd,place,1,28.64871171,13.51042302,6.018179688,3.824472199,22
wyd,place,2,28.56890988,12.75614638,5.176766849,3.829803346,23
wyd,place,3,28.25726817,11.12515221,4.132544965,2.753354249,27
wyd,place,4,27.48928212,11.08804686,4.425449481,4.05800176,31
czt,hover,1,23.17988869,12.94147034,6.822030963,5.246040089,33
czt,hover,2,24.12747014,15.24488725,7.042800116,8.2225001,31
czt,hover,3,23.46385246,14.12780353,8.382394962,5.697902092,30
czt,hover,4,21.98161074,13.91090634,5.422917786,6.046945171,30
czt,place,1,24.74109182,16.15159948,6.331795598,10.4542532,28
czt,place,2,24.48000632,14.51121074,5.933201017,4.047510882,33
czt,place,3,21.97834784,12.95389689,5.637139925,3.132646798,32
czt,place,4,21.58011229,13.59889964,5.500510228,3.097816011,35
gsh,hover,1,25.52163366,13.19496386,4.865718711,4.07278072,38
gsh,hover,2,25.36620768,13.46073986,4.625615078,5.416824535,38
gsh,hover,3,25.53295931,14.56937645,4.960632647,6.727785732,39
gsh,hover,4,26.06717596,13.64432055,5.249403352,4.532151835,38
gsh,place,1,24.42109906,11.98424274,4.0688328,2.737590338,37
gsh,place,2,23.93952417,12.88875016,4.498535688,3.283460293,43
gsh,place,3,25.14611824,12.00714648,3.591596039,4.043442518,44
gsh,place,4,24.55357853,11.74740219,4.855141288,3.089280256,40
fsq,hover,1,23.12734304,15.68214063,8.428681227,9.367243244,26
fsq,hover,2,25.10156115,15.40181249,6.627831683,9.929703144,24
fsq,hover,3,29.27467108,15.42509633,6.634485019,8.990427372,24
fsq,hover,4,31.31137622,17.36119967,8.672330081,10.44893121,21
fsq,place,1,25.05580748,14.88917981,8.29560904,5.794308217,26
fsq,place,2,23.81717257,14.15557604,6.474411702,5.498850548,25
fsq,place,3,21.71245153,12.976903,7.018163151,7.513511648,28
fsq,place,4,20.75774898,11.68359769,8.421518678,8.636410566,29