mode,top,correct,acc
hover,0,wangchen1,88.4
hover,1,wangchen1,95.1
hover,2,wangchen1,96.9
hover,3,wangchen1,97.6
hover,4,wangchen1,97.86
hover,0,cai,76.1
hover,1,cai,86.2
hover,2,cai,90.14
hover,3,cai,92.16
hover,4,cai,93.2
hover,0,czt,66.36
hover,1,czt,78.12
hover,2,czt,82.95
hover,3,czt,85.77
hover,4,czt,87.67
hover,0,fjy,69.34
hover,1,fjy,80.81
hover,2,fjy,85.41
hover,3,fjy,87.87
hover,4,fjy,89.53
hover,0,fsq,69.3
hover,1,fsq,80.01
hover,2,fsq,84.99
hover,3,fsq,87.57
hover,4,fsq,89.22
hover,0,gsh,90.7
hover,1,gsh,96.59
hover,2,gsh,97.95
hover,3,gsh,98.4
hover,4,gsh,98.54
hover,0,lc,83.15
hover,1,lc,91.81
hover,2,lc,94.43
hover,3,lc,95.61
hover,4,lc,96.18
hover,0,luyiqin,46.23
hover,1,luyiqin,58.78
hover,2,luyiqin,65.32
hover,3,luyiqin,69.95
hover,4,luyinqin,72.9
hover,0,lwk,72.37
hover,1,lwk,83.19
hover,2,lwk,87.47
hover,3,lwk,89.61
hover,4,lwk,91.05
hover,0,lxy,88.17
hover,1,lxy,94,71
hover,2,lxy,96.49
hover,3,lxy,97.21
hover,4,lxy,97.47
hover,0,qdn,71.39
hover,1,qdn,82.46
hover,2,qdn,86.44
hover,3,qdn,88.79
hover,4,qdn,90.16
hover,0,wyd,77.39
hover,1,wyd,87.41
hover,2,wyd,90.99
hover,3,wyd,92.79
hover,4,wyd,93.82